domain,n_posts,total_engagement,median_engagement
jcsd.k12.or.us,436,5931,8.0
www.mthcs.org,435,10101,11.0
www.greenwoodcharter.org,434,3132,4.0
www.lcs.k12.va.us,434,5128,6.0
www.grahamisd.com,434,12352,12.0
www.curwensville.org,434,16188,20.0
www.ht-sd.org,433,9470,13.0
www.wellington.k12.oh.us,433,9006,10.0
www.ocsu.org,433,3232,3.0
hardwick.ossu.org,433,1625,1.0
junctionhill.k12.mo.us,433,1621,2.0
kenstonlocal.org,433,22639,56.0
www.whitesboroisd.org,433,22464,35.0
www.vacavilleusd.org,433,11556,13.0
www.tuliaisd.net,433,12846,17.0
www.gilmerisd.org,432,15276,22.0
www.swanvalleyschools.com,432,8489,9.0
www.bisd-tx.org,432,6919,8.0
www.charterschoolpartners.com,432,2803,5.0
www.cvsd.org,432,23971,38.0
www.lutherlions.org,432,6535,9.0
www.meridian.wednet.edu,432,12693,18.0
www.sau4.org,432,10781,14.0
www.sville.us,432,10498,13.0
www.tahokaisd.us,431,8692,13.0
www.pcreek.net,431,4425,6.0
www.ballingerisd.net,431,5235,5.0
www.flemingschools.org,430,7759,6.0
www.summitps.org,430,7506,10.0
www.wcsu32.org,430,1067,1.0
www.boydisd.net,430,11016,13.0
www.collinsvilleisd.org,430,12130,18.0
www.lakelandk12.org,429,14453,22.0
www.mobridge-pollock.k12.sd.us,429,7033,8.0
www.groomisd.net,429,4393,6.0
www.ycsd.k12.or.us,429,3116,4.0
www.nortoncityschools.org,429,13788,23.0
www.onalaskaisd.net,429,13555,24.0
www.dcisd.org,429,19196,30.0
www.shorelineschools.org,428,22019,37.5
www.grandschools.org,428,3548,2.0
www.ipcisd.net,427,14410,18.0
www.dickinsonisd.org,426,29668,33.0
glasgow.k12.mt.us,426,2137,1.0
appletoncity.k12.mo.us,426,4913,4.0
www.dawsonisd.net,425,14289,22.0
www.fnesu.net,425,6813,9.0
www.aspenk12.net,425,3618,3.0
www.mammothusd.org,425,1157,2.0
www.frazierschooldistrict.org,425,525,0.0
www.tiptontigers.net,425,4978,6.0
www.halifax.k12.va.us,425,13036,15.0
www.camanche.k12.ia.us,425,10062,9.0
www.mid-del.net,424,31005,35.5
www.gsd1.org,424,6774,6.0
www.saisd.us,424,845,1.0
www.jcschools.org,424,25884,42.0
www.lebanon.k12.or.us,423,8032,10.0
www.commerceisd.org,423,7932,11.0
www.wusd13.org,423,1831,2.0
www.wisek12.org,422,42013,55.0
www.brockisd.net,422,18350,27.0
www.tisd.org,422,16473,22.0
www.texhoma61.net,422,8684,13.0
www.bcemsvt.org,422,5161,4.0
www.huffmanisd.net,422,17206,24.0
www.nfsd.org,422,12227,20.0
www.iolaisd.net,422,10176,14.0
www.richardsisd.net,422,5602,8.0
www.cpseagles.org,421,16624,17.0
www.gatewayk12.org,421,15393,20.0
www.alvordisd.net,421,7951,11.0
www.bwschools.net,421,7726,9.0
www.btmes.org,421,4418,5.0
www.strother.k12.ok.us,421,11105,15.0
www.gisd.org,421,10153,12.0
www.mauryk12.org,420,21459,22.0
www.crossroadsisd.org,420,8756,13.5
www.sayre.k12.ok.us,420,7671,9.0
www.bowieisd.net,420,4095,4.0
www.csd49.org,420,3838,5.0
www.rcps.org,420,5374,7.0
www.estacada.k12.or.us,420,11926,18.0
www.bvcps.net,420,10101,14.0
www.spokaneintlacademy.org,420,12933,21.0
www.cascade.k12.or.us,420,11729,15.0
www.meisd.org,420,10391,14.0
www.camas.wednet.edu,419,17087,23.0
www.helix.k12.or.us,419,4474,4.0
pantojacharter.org,419,1207,1.0
www.sptsd.org,419,23435,21.0
www.morrisschools.net,419,13383,17.0
www.godleyisd.net,419,18651,29.0
www.abington.k12.pa.us,418,29556,50.0
www.mtpleasant.edzone.net,418,21298,36.0
www.tahlequahschools.org,418,15169,17.0
www.fentonschools.org,418,14022,21.0
www.blancoisd.org,418,8203,13.0
www.twisd.us,418,6897,12.0
www.bhrsd.org,418,3282,5.0
www.odysseycharterschool.net,418,2015,2.0
www.jlas.org,418,5251,7.0
www.sunnyvaleisd.com,418,4962,3.0
www.marion-isd.org,418,5444,7.0
www.tlm.k12.nd.us,418,10292,12.0
www.westhopeschool.com,418,6039,6.0
www.lisdtx.org,418,11590,14.0
www.bullardisd.net,417,21151,34.0
www.fssd.org,417,14031,24.0
www.toppenish.wednet.edu,417,9380,13.0
www.hamiltonisd.org,417,8130,8.0
www.goodwatermontessori.org,417,7517,13.0
www.ycschools.us,417,7336,11.0
www.monticello.k12.ia.us,417,6765,9.0
www.central.k12.or.us,417,4366,7.0
www.monroe.wednet.edu,417,16387,22.0
www.freedomareaschools.org,417,11057,16.0
www.camdentonschools.org,416,18830,32.0
www.vpsd.org,416,17743,26.0
www.stewartcountyschools.net,416,16612,22.5
www.simmsisd.net,416,14305,17.0
www.wilkinsburgschools.org,416,4684,6.5
www.ok.gov,416,1429,2.0
www.lapoynorisd.net,416,6722,9.0
pbtisd.esc18.net,416,22953,41.0
www.libertyk12.org,416,10688,5.0
www.bangsisd.net,416,12190,18.5
www.psd402.org,416,5391,6.0
www.bismarck.k12.il.us,415,28203,45.0
www.mcpsva.org,415,17357,31.0
www.bonhamisd.org,415,8558,10.0
www.whartonisd.net,415,7214,10.0
gfautah.org,415,3806,6.0
www.brookings.k12.or.us,415,2558,4.0
www.epvpwoodlandhills.org,415,5175,8.0
www.lyleschools.org,415,5884,9.0
www.bremertonschools.org,415,12550,16.0
www.mayisd.com,415,10983,14.0
www.shallowaterisd.net,415,17915,20.0
www.lhs210.net,415,17879,10.0
www.mangum.k12.ok.us,414,18731,14.0
www.salemnj.org,414,17999,15.0
www.westisd.net,414,9262,12.0
www.edencisd.net,414,8081,12.0
www.vanoss.k12.ok.us,414,7241,10.0
www.bradyisd.org,414,3353,3.0
www.newportwildcats.org,414,6415,7.0
www.wbschools.us,414,6456,7.0
www.grisd.net,414,21848,32.0
www.rushsprings.k12.ok.us,414,10637,13.0
www.phoenix.k12.or.us,414,5479,9.0
www.danvilleschools.net,414,11588,12.0
responsiveed.com,413,2770,4.0
www.chaparralstaracademy.com,413,2734,4.0
www.baker.k12.or.us,413,5214,7.0
www.saladoisd.org,413,4854,5.0
www.pampaisd.net,413,26605,34.0
www.clyde.esc14.net,413,6309,9.0
www.kgcs.k12.va.us,413,9662,14.0
www.vidorisd.org,413,17225,22.0
www.krumisd.net,413,11590,16.0
www.wanee.org,413,23139,29.0
www.cocisd.org,413,11761,16.0
www.ennis.k12.tx.us,412,20806,31.0
www.westernheights.k12.ok.us,412,19583,35.0
www.acps.k12.va.us,412,14174,15.5
www.flowingwellsschools.org,412,14102,20.0
www.martisd.org,412,9484,12.0
www.exeter.k12.pa.us,412,8671,11.0
www.evantisd.org,412,8483,9.5
www.efsd.net,412,8033,17.0
www.stauntonschools.org,412,7151,5.0
wacharters.org,412,4419,5.0
www.calallen.org,412,24933,36.0
www.leonisd.net,412,9665,14.0
www.fpschools.org,412,20419,34.0
zacharyschools.org,412,11096,12.0
www.woodall.k12.ok.us,412,10436,20.0
www.henryetta.k12.ok.us,412,10274,14.0
www.cmsd.k12.pa.us,411,42136,70.0
www.tumwater.k12.wa.us,411,19349,31.0
www.chazy.org,411,15713,15.0
tcaps.net,411,14850,18.0
www.santiam.k12.or.us,411,8434,11.0
www.ryan.k12.ok.us,411,8403,10.0
www.varnum.k12.ok.us,411,8063,12.0
www.hoodriver.k12.or.us,411,7181,10.0
www.sje.wednet.edu,411,6823,7.0
www.missionmontessori.com,411,4913,9.0
www.strawnschool.net,411,5388,5.0
www.gatesvilleisd.org,411,11638,6.0
www.crosbyisd.org,411,11531,15.0
marcelluscs.org,411,9657,12.0
www.londonisd.net,411,11381,13.0
www.emsisd.com,410,37905,51.5
www.seneca-east.k12.oh.us,410,14483,23.0
www.bynumisd.net,410,9482,18.5
cabotschool.org,410,8282,18.0
www.sheltonschools.org,410,7999,7.0
www.sps.k12.ok.us,410,7771,10.0
www.sultan.k12.wa.us,410,7164,10.0
www.grafordisd.net,410,4464,6.0
www.windsor.k12.vt.us,410,3270,3.0
www.u32.org,410,3265,3.0
www.chelanschools.org,410,5914,8.0
www.hondoisd.net,410,5852,7.0
www.thrallisd.com,410,5832,10.0
www.rssc.k12.in.us,410,6746,6.0
www.colcordschools.com,410,6733,10.0
www.gvisd.org,410,13391,22.5
www.craw.org,410,13197,18.0
nsantiam.k12.or.us,410,10642,18.5
www.risdtx.us,410,12477,18.0
www.ssummit.org,410,6352,8.0
www.staff.josephcharter.org,410,11359,18.0
www.buttefalls.k12.or.us,410,5514,8.0
glsd.us,409,36181,59.0
www.mvisd.com,409,20625,29.0
www.ottovilleschools.org,409,17423,28.0
www.wwgschools.org,409,16793,32.0
www.sweenyisd.org,409,16664,24.0
www.ogdensd.org,409,14069,19.0
www.tonasket.wednet.edu,409,7767,14.0
www.fnwsu.org,409,7689,14.0
