nces_id,n_posts,total_engagement,total_likes,total_comments,total_shares,avg_engagement,median_engagement,p90_engagement,max_engagement,pct_with_image,pct_with_link,pct_with_text
1803120,201,8247,6954,771,522,41.02985074626866,23.0,106.0,393,0.4129353233830846,0.3582089552238806,0.7611940298507462
2911850,198,3910,3527,289,94,19.747474747474747,14.0,39.60000000000002,123,0.5757575757575758,0.04040404040404041,0.7323232323232324
3610950,199,3178,2075,248,855,15.969849246231156,10.0,35.20000000000002,187,0.25125628140703515,0.6030150753768844,0.5276381909547738
5101290,398,3818,3404,377,37,9.592964824120603,5.0,27.600000000000023,94,0.6733668341708543,0.7939698492462312,0.9673366834170855
409733,262,1133,952,96,85,4.324427480916031,4.0,9.0,24,0.6526717557251909,0.20610687022900764,0.7061068702290076
4819830,405,27480,24049,3023,408,67.85185185185185,40.0,164.0,593,0.7234567901234568,0.5259259259259259,0.9308641975308642
1715820,198,9363,8162,883,318,47.28787878787879,37.0,97.60000000000002,183,0.4292929292929293,0.1111111111111111,0.7525252525252525
901440,204,3792,3419,123,250,18.58823529411765,8.0,47.400000000000034,236,0.3284313725490196,0.23039215686274508,0.7009803921568627
3611670,398,19547,17000,1532,1015,49.11306532663317,33.5,103.30000000000001,450,0.5653266331658291,0.30904522613065327,0.9296482412060302
614730,398,4091,3538,370,183,10.27889447236181,3.0,32.30000000000001,138,0.19095477386934673,0.44472361809045224,0.9773869346733668
4013890,409,15434,13285,1492,657,37.7359413202934,27.0,90.0,266,0.6308068459657702,0.1271393643031785,0.4792176039119804
2900608,198,4439,4168,198,73,22.41919191919192,16.5,44.30000000000001,129,0.803030303030303,0.16161616161616163,0.9191919191919192
400225,198,5589,4647,893,49,28.227272727272727,17.0,72.30000000000001,210,0.41414141414141414,0.2828282828282828,0.6767676767676768
1302880,199,19352,14241,3535,1576,97.2462311557789,56.0,251.00000000000077,625,0.5326633165829145,0.49246231155778897,0.8542713567839196
4634600,417,5101,4498,508,95,12.232613908872901,6.0,32.400000000000034,139,0.5179856115107914,0.2709832134292566,0.6282973621103117
1914280,198,5785,4722,314,749,29.217171717171716,15.0,66.0,254,0.5959595959595959,0.1919191919191919,0.6464646464646465
5300003,399,20698,17413,1446,1839,51.87468671679198,33.0,114.19999999999999,478,0.5238095238095238,0.45864661654135336,0.9398496240601504
5303930,401,41288,36207,4774,307,102.96259351620948,75.0,203.0,1250,0.6608478802992519,0.35910224438902744,0.8079800498753117
3910025,398,19328,13038,1650,4640,48.562814070351756,44.5,88.30000000000001,315,0.04773869346733668,0.9221105527638191,0.9974874371859297
3904416,198,8139,7589,449,101,41.10606060606061,33.0,79.90000000000003,168,0.8585858585858586,0.11616161616161616,0.9949494949494949
5005280,2243,11307,9105,1143,1059,5.041016495764601,1.0,14.0,207,0.4190815871600535,0.27017387427552386,0.4485064645563977
3501500,420,25751,20586,3199,1966,61.31190476190476,34.0,138.20000000000005,1302,0.6023809523809524,0.6904761904761905,0.7714285714285715
2621750,615,6701,5195,954,552,10.895934959349594,5.0,31.0,99,0.4065040650406504,0.11707317073170732,0.8227642276422764
2900028,399,1444,1160,246,38,3.619047619047619,2.0,9.0,34,0.7644110275689223,0.14035087719298245,0.8345864661654135
2600979,198,525,451,46,28,2.6515151515151514,1.0,6.300000000000011,39,0.3838383838383838,0.5454545454545454,0.8232323232323232
3172720,198,4359,4009,173,177,22.015151515151516,10.5,58.30000000000001,111,0.5959595959595959,0.26262626262626265,0.9393939393939394
2314832,200,3585,3175,289,121,17.925,13.0,39.0,138,0.595,0.16,0.575
3409360,423,14276,12733,1070,473,33.74940898345154,20.0,86.80000000000001,296,0.5011820330969267,0.3333333333333333,0.5791962174940898
3409420,199,8387,7550,611,226,42.14572864321608,27.0,102.20000000000002,239,0.5728643216080402,0.3065326633165829,0.914572864321608
